Sound Name,Asset Name,Publisher Name,Store Link,Comment
wheel-spin-click-slow-down.wav,Wheel Spin Click Slow Down,pooky1 / Freesound,https://freesound.org/people/pooky1/sounds/398235/,Extended/edited in SOUND FORGE Pro 17.
BUTTON_Click_01_mono.wav,Universal Sound FX,Imphenzia,https://assetstore.unity.com/packages/audio/sound-fx/universal-sound-fx-17256,"Under ""BUTTONS"" folder"
No Looking Back.wav,Heavy Action Music Pack,RodrigoFloresMusic,"https://www.gamedevmarket.net/asset/heavy-action-music-pack-2
https://www.humblebundle.com/downloads?key=wUh5kkS3NZCpusBe","Bought From Humble Bundle ""The Game Audio Collection 1,800+ music tracks & 65,000+ sound effects"""
FeelWheelMusic.wav,FEEL,More Mountains,https://assetstore.unity.com/packages/tools/particles-effects/feel-183370,
